State,Standard time,Standard Processing Time,Expedite Time,Expedited Processing Time,Expedite Price
Alabama,15 days,Up to 14 business days,5 days,3 business days,$400 
Alaska,15 days,10-15 business days,Not available,Not available,Not available
Arizona,30 days,30 business days,5 days,5 business days,$70 
Arkansas,5 days,2 business days,Not available,Not available,Not available
California,5 days,2-4 business days (online),5 days,Same-day,$1.500 
Colorado,30 days,Several days (online),5 days,3 business days,$300 
Connecticut,5 days,3-5 business days (online),5 days,24 hours,$100 
Delaware,10 days,7-10 business days,5 days,Next-day,$100 
District of Columbia,15 days,Up to 15 business days,5 days,1 business day,$200 
Florida,5 days,2-5 business days,5 days,24 hours,$200 
Georgia,10 days,7 business days,Not available,Varies,$1.000 
Hawaii,5 days,3-5 business days,5 days,1-3 business days,$50 
Idaho,30 days,Several business days,Not available,Not available,Not available
Illinois,30 days,Up to 4 weeks,Not available,Varies,$200 
Indiana,5 days,1-2 business days,Not available,Not available,Not available
Iowa,5 days,1 business day,5 days,2 business days,$100 
Kansas,5 days,Same/next-day,Not available,Not available,Not available
Kentucky,45 days,Varies,Not available,Not available,Not available
Louisiana,5 days,3-5 business days,5 days,24 hours,$60 
Maine,15 days,10-15 business days,5 days,24 hours,$100 
Maryland,10 days,7 business days,Not available,7 business days,$100 
Massachusetts,5 days,2-5 business days,Not available,Varies,$40 
Michigan,10 days,5-10 business days,5 days,Same-day,$200 
Minnesota,10 days,Under 7 business days,Not available,Varies,$40 
Mississippi,5 days,Up to 3 business days,Not available,Not available,Not available
Missouri,45 days,Varies,Not available,Not available,Not available
Montana,5 days,3-5 business days,5 days,24 hours,$40 
Nebraska,5 days,1-2 business days,Not available,Not available,Not available
Nevada,5 days,2 business days,5 days,24 hours,$250 
New Hampshire,5 days,2-3 business days,5 days,24 hours,$50 
New Jersey,45 days,Varies,5 days,8.5 business hours,$50 
New Mexico,10 days,Several business days,Not available,Not available,Not available
New York,10 days,Around 1 week,5 days,24 hours,$50 
North Carolina,10 days,7-10 business days,5 days,24 hours,$200 
North Dakota,45 days,Varies,Not available,Not available,Not available
Ohio,10 days,3-7 business days,Not available,Varies,$600 
Oklahoma,5 days,1 business day,5 days,Same-day,$50 
Oregon,10 days,A few business days,Not available,Not available,Not available
Pennsylvania,15 days,Up to 15 business days,15 days,Varies,$1.000 
Rhode Island,10 days,Around 5-7 business days,Not available,Not available,Not available
South Carolina,5 days,Same/next-day,5 days,24 hours,$200 
South Dakota,5 days,Immediate (online),Not available,Not available,Not available
Tennessee,30 days,Several business days,Not available,Not available,Not available
Texas,5 days,4-5 business days,5 days,4-5 business days,$50 
Utah,5 days,24 hours,5 days,1-2 business days,$150 
Vermont,5 days,Less than 1 business day,Not available,Not available,Not available
Virginia,30 days,Up to 4 weeks,5 days,Next-day,$100 
Washington,5 days,2 business days,Not available,Varies,$100 
West Virginia,10 days,5-10 business days,5 days,24 hours,$50 
Wisconsin,15 days,10-14 business days,5 days,1-2 business days,$70 
Wyoming,5 days,2-3 business days,Not available,Not available,Not available
